year,brand,model_name,price,distance_travelled(kms),fuel_type,city
2018,Ford,EcoSport,1090000,20000,Diesel,Chennai
2020,Mahindra,XUV300,1390000,25000,Diesel,Chennai
2018,Ford,EcoSport,1090000,20000,Diesel,Chennai
2021,Ford,Endeavour,3850000,8000,Diesel,Chennai
2017,Honda,WR-V,875000,46000,Diesel,Chennai
2019,Hyundai,Verna,1195000,10000,Petrol,Chennai
2019,Skoda,Rapid,1175000,10000,Petrol,Chennai
2019,Jeep,Compass,2190000,24000,Petrol,Chennai
2018,Mahindra,XUV500,1290000,29000,Diesel,Chennai
2019,Hyundai,Verna,925000,24800,Petrol,Chennai
2020,Mahindra,XUV300,990000,2000,Petrol,Chennai
2014,Honda,City,790000,20000,Petrol,Chennai
2015,Volkswagen,Vento,620000,54000,Diesel,Chennai
2010,Maruti Suzuki,Ritz,285000,72000,Petrol,Chennai
2014,Audi,A4,1850000,72000,Diesel,Chennai
2016,Hyundai,Elite,630000,5700,Petrol,Chennai
2014,Mahindra,Bolero,540000,180000,Diesel,Chennai
2018,Hyundai,Creta,1250000,40000,Diesel,Chennai
2013,Ford,EcoSport,650000,60000,Petrol,Chennai
2012,Honda,City,525000,40000,Petrol,Chennai
2012,Honda,City,750000,65000,Petrol,Chennai
2011,Honda,City,490000,80000,Petrol,Chennai
2019,Hyundai,Elite,625000,33000,Petrol,Chennai
2020,Renault,Kwid,530000,11500,Petrol,Chennai
2019,Volvo,XC60,5600000,40000,Diesel,Chennai
2019,Hyundai,Elite,625000,33000,Petrol,Chennai
2019,Toyota,Innova,2450000,26000,Diesel,Chennai
2020,Renault,Kwid,530000,11500,Petrol,Chennai
2011,Mercedes-Benz,C-Class,1250000,97000,Diesel,Chennai
2007,Honda,CR-V,475000,120000,Petrol,Chennai
2021,Hyundai,Venue,1050000,2000,Petrol,Chennai
2005,Mercedes-Benz,C-Class,550000,74000,Petrol,Chennai
2014,Jaguar,XF,2200000,78000,Diesel,Chennai
2016,Hyundai,Elite,630000,57000,Petrol,Chennai
2015,Volkswagen,Vento,600000,66000,Petrol,Chennai
2015,Volkswagen,Polo,700000,50000,Petrol,Chennai
2011,Ford,Fiesta,290000,55000,Petrol,Chennai
2014,BMW,3,2250000,55000,Diesel,Chennai
2016,BMW,7,5650000,54000,Diesel,Chennai
2019,BMW,5,5190000,53000,Diesel,Chennai
2016,Mercedes-Benz,S-Class,5850000,70000,Diesel,Chennai
2014,Volkswagen,Vento,575000,86000,Diesel,Chennai
2011,Honda,Accord,750000,65000,Petrol,Chennai
2017,Jaguar,F-Pace,4500000,56500,Diesel,Chennai
2018,Volvo,XC90,4200000,141900,Diesel,Chennai
2011,Audi,A4,1200000,44000,Diesel,Chennai
2018,Jeep,Compass,1650000,39500,Diesel,Chennai
2004,Toyota,Camry,500000,70500,Petrol,Chennai
2018,Maruti Suzuki,Ciaz,950000,25000,Petrol,Chennai
2016,Mercedes-Benz,S-Class,5850000,70000,Diesel,Chennai
2012,Toyota,Innova,1200000,108000,Diesel,Chennai
2017,Jaguar,F-Pace,4500000,56500,Diesel,Chennai
2014,BMW,3,2250000,55000,Diesel,Chennai
2018,Volvo,XC90,4200000,141900,Diesel,Chennai
2011,Ford,Fiesta,290000,55000,Petrol,Chennai
2017,Land Rover,Evoque,3550000,80400,Diesel,Chennai
2015,BMW,7,3800000,40500,Diesel,Chennai
2018,BMW,5,4900000,39000,Diesel,Chennai
2007,BMW,6,1800000,30900,Petrol,Chennai
2014,Mahindra,XUV500,1050000,58200,Diesel,Chennai
2015,Hyundai,Creta,950000,79900,Diesel,Chennai
2016,Maruti Suzuki,Swift,610000,15000,Petrol,Chennai
2019,Toyota,Innova,2175000,39900,Diesel,Chennai
2013,Volkswagen,Vento,475000,66000,Petrol,Chennai
2011,Hyundai,i10,360000,22000,Petrol,Chennai
2011,Volvo,XC60,1150000,80000,Diesel,Chennai
2012,Honda,City,550000,55000,Petrol,Chennai
2015,Mercedes-Benz,CLS,3700000,24000,Diesel,Chennai
2017,Toyota,Fortuner,2700000,72000,Diesel,Chennai
2019,Mahindra,XUV500,1650000,19900,Diesel,Chennai
2015,Ford,EcoSport,600000,92900,Diesel,Chennai
2015,Ford,EcoSport,600000,89900,Diesel,Chennai
2012,Mahindra,XUV500,800000,85000,Diesel,Chennai
2019,Mahindra,XUV500,1650000,19900,Diesel,Chennai
2012,Mahindra,XUV500,800000,85000,Diesel,Chennai
2013,Audi,Q7,2150000,83000,Diesel,Chennai
2016,Honda,City,790000,45000,Petrol,Chennai
2014,Hyundai,Elite,550000,52000,Diesel,Chennai
2016,Maruti Suzuki,Celerio,425000,35000,Petrol,Chennai
2016,Toyota,Innova,1700000,79900,Diesel,Chennai
2012,Audi,A6,1450000,55000,Diesel,Chennai
2018,Renault,Duster,925000,50000,Diesel,Chennai
2015,Toyota,Innova,1350000,85000,Diesel,Chennai
2015,Mercedes-Benz,C-Class,2350000,43000,Diesel,Chennai
2012,Mercedes-Benz,GL,2400000,148000,Diesel,Chennai
2015,Hyundai,Elite,575000,39000,Petrol,Chennai
2018,Hyundai,Verna,1200000,19900,Petrol,Chennai
2017,Maruti Suzuki,Celerio,470000,51000,Petrol,Chennai
2017,Land Rover,Evoque,3500000,30980,Diesel,Chennai
2016,Audi,Q3,1395000,72000,Diesel,Chennai
2014,BMW,5,2800000,27000,Diesel,Chennai
2018,Hyundai,Elite,650000,18000,Petrol,Chennai
2015,Maruti Suzuki,Ciaz,675000,62000,Petrol,Chennai
2016,Hyundai,Creta,770000,175000,Diesel,Chennai
2011,Nissan,Micra,225000,51000,Petrol,Chennai
2016,Hyundai,Creta,925000,40000,Diesel,Chennai
2019,Hyundai,Venue,1125000,14000,Petrol,Chennai
2011,Nissan,Micra,225000,51000,Petrol,Chennai
2019,Hyundai,Venue,1125000,14000,Petrol,Chennai
2017,Ford,Endeavour,2280000,41000,Diesel,Chennai
2014,Skoda,Rapid,529000,49000,Diesel,Chennai
2016,Ford,EcoSport,680000,69000,Petrol,Chennai
2012,Hyundai,i20,375000,66000,Petrol,Chennai
2017,Maruti Suzuki,Baleno,650000,32000,Petrol,Chennai
2015,Volkswagen,Vento,700000,60000,Petrol,Chennai
2017,Maruti Suzuki,Ertiga,910000,48000,Diesel,Chennai
2018,Maruti Suzuki,Ciaz,825000,22000,Petrol,Chennai
2012,Land Rover,Evoque,2350000,63000,Diesel,Chennai
2012,Mercedes-Benz,C-Class,1400000,87500,Diesel,Chennai
2020,Toyota,Innova,2550000,9500,Diesel,Chennai
2017,Hyundai,Grand,380000,62000,Diesel,Chennai
2018,Audi,Q3,2650000,81296,Diesel,Chennai
2018,Hyundai,Verna,1250000,38000,Diesel,Chennai
2017,Hyundai,Elite,750000,40000,Diesel,Chennai
2019,Hyundai,Creta,990000,58000,Diesel,Chennai
2011,Toyota,Innova,870000,120000,Diesel,Chennai
2018,Maruti Suzuki,Ciaz,870000,38000,Petrol,Chennai
2015,Mahindra,Thar,750000,64000,Diesel,Chennai
2010,Maruti Suzuki,SX4,240000,90000,Petrol,Chennai
2015,Hyundai,Creta,925000,84000,Diesel,Chennai
2019,Mahindra,TUV300,945000,39000,Diesel,Chennai
2008,Hyundai,i10,250000,73000,Petrol,Chennai
2016,Ford,Figo,475000,40000,Diesel,Chennai
2016,Ford,Endeavour,2225000,65000,Diesel,Chennai
2016,Renault,Duster,690000,70000,Diesel,Chennai
2014,Hyundai,Elite,515000,29000,Petrol,Chennai
2015,Hyundai,i10,325000,54000,Petrol,Chennai
2019,Kia,Seltos,1590000,7000,Petrol,Chennai
2019,Ford,EcoSport,890000,45000,Diesel,Chennai
2016,Ford,Endeavour,2090000,74000,Diesel,Chennai
2012,Mahindra,XUV500,750000,130000,Diesel,Chennai
2016,Ford,EcoSport,575000,68000,Diesel,Chennai
2017,Honda,Jazz,725000,13000,Petrol,Chennai
2016,Mahindra,TUV300,675000,64000,Diesel,Chennai
2011,Ford,Endeavour,950000,60000,Diesel,Chennai
2017,Hyundai,Grand,550000,44000,Petrol,Chennai
2017,Ford,Endeavour,2290000,61000,Diesel,Chennai
2014,Toyota,Innova,1149000,112000,Diesel,Chennai
2012,BMW,X1,1385000,59000,Diesel,Chennai
2017,Ford,Endeavour,2400000,90000,Diesel,Chennai
2012,Mahindra,Scorpio,650000,135000,Diesel,Chennai
2016,BMW,X3,3400000,40000,Diesel,Chennai
2013,Toyota,Innova,1250000,130000,Diesel,Chennai
2019,Maruti Suzuki,Swift,600000,62000,Diesel,Chennai
2017,Hyundai,Grand,380000,65000,Diesel,Chennai
2016,Ford,EcoSport,750000,34000,Diesel,Chennai
2015,Hyundai,Eon,320000,36000,Petrol,Chennai
2020,Hyundai,Tucson,2500000,4500,Petrol,Chennai
2013,Skoda,Laura,625000,106000,Petrol,Chennai
2018,Toyota,Innova,2300000,40000,Diesel,Chennai
2016,BMW,X1,2600000,37000,Diesel,Chennai
2019,Hyundai,Creta,1380000,32000,Petrol,Chennai
2017,Ford,Mustang,6500000,11100,Petrol,Chennai
2017,Volvo,S60,3950000,49855,Petrol,Chennai
2015,Audi,A8,4500000,57700,Diesel,Chennai
2019,Honda,City,1050000,24000,Petrol,Chennai
2017,Volkswagen,Ameo,575000,55000,Diesel,Chennai
2015,Hyundai,Grand,445000,65000,Diesel,Chennai
2012,Toyota,Corolla,650000,77000,Diesel,Chennai
2016,Jaguar,XF,2850000,63000,Diesel,Chennai
2013,Mercedes-Benz,M-Class,2400000,120000,Diesel,Chennai
2017,Maruti Suzuki,Ciaz,785000,49000,Petrol,Chennai
2017,Hyundai,Verna,875000,10001,Petrol,Chennai
2019,Renault,Duster,1090000,16000,Diesel,Chennai
2018,Maruti Suzuki,Baleno,690000,35000,Petrol,Chennai
2018,Honda,Jazz,750000,29000,Diesel,Chennai
2018,Honda,City,990000,41000,Diesel,Chennai
2020,Kia,Sonet,1450000,3000,Petrol,Chennai
2015,Audi,Q3,2200000,76000,Diesel,Chennai
2020,BMW,X4,6800000,20000,Petrol,Chennai
2017,Tata,Hexa,1075000,85000,Diesel,Chennai
2012,Renault,Duster,525000,65000,Diesel,Chennai
2015,Skoda,Rapid,790000,57000,Diesel,Chennai
2017,Maruti Suzuki,Ignis,485000,24000,Petrol,Chennai
2018,Maruti Suzuki,Baleno,690000,35000,Petrol,Chennai
2018,Honda,Jazz,750000,29000,Diesel,Chennai
2018,Honda,City,990000,41000,Diesel,Chennai
2019,Renault,Duster,1090000,16000,Diesel,Chennai
2017,Ford,EcoSport,850000,44000,Diesel,Chennai
2018,Toyota,Innova,2050000,41000,Diesel,Chennai
2015,Jaguar,XF,2200000,77000,Diesel,Chennai
2014,BMW,X1,1450000,63000,Diesel,Chennai
2010,Skoda,Superb,600000,104000,Diesel,Chennai
2017,Skoda,Rapid,735000,112000,Diesel,Chennai
2012,Toyota,Innova,1190000,93000,Diesel,Chennai
2017,Skoda,Octavia,2000000,30000,Diesel,Chennai
2019,Skoda,Rapid,1090000,30000,Diesel,Chennai
2020,Volkswagen,Polo,775000,16000,Petrol,Chennai
2018,Toyota,Fortuner,2700000,100000,Diesel,Chennai
2018,Toyota,Innova,2050000,42500,Diesel,Chennai
2017,Toyota,Fortuner,2800000,420000,Diesel,Chennai
2012,Mercedes-Benz,C-Class,1450000,48000,Diesel,Chennai
2011,BMW,3,1275000,64000,Diesel,Chennai
2018,Toyota,Fortuner,2700000,100000,Diesel,Chennai
2018,Toyota,Innova,2050000,42500,Diesel,Chennai
2016,Mercedes-Benz,GLS,5200000,82420,Diesel,Chennai
2011,Mercedes-Benz,C-Class,1150000,73000,Diesel,Chennai
2018,Mercedes-Benz,CLA,3200000,15600,Diesel,Chennai
2015,Audi,A3,1850000,58600,Diesel,Chennai
2019,Mercedes-Benz,GLS,7200000,58548,Diesel,Chennai
2015,BMW,3,2200000,22261,Diesel,Chennai
2018,Land Rover,Discovery,4400000,28800,Diesel,Chennai
2017,Skoda,Octavia,2000000,30000,Diesel,Chennai
2017,Honda,WR-V,875000,43000,Diesel,Chennai
2012,Audi,A6,1700000,76000,Diesel,Chennai
2009,Audi,A4,1025000,65000,Petrol,Chennai
2014,Honda,City,785000,20000,Petrol,Chennai
2016,BMW,X1,2600000,36000,Diesel,Chennai
2014,Ford,EcoSport,525000,73000,Petrol,Chennai
2016,Hyundai,Elite,675000,12000,Petrol,Chennai
2019,Ford,EcoSport,850000,23000,Petrol,Chennai
2020,Audi,A4,4400000,16000,Diesel,Chennai
2013,Audi,A6,2100000,40000,Diesel,Chennai
2012,BMW,5,1800000,82000,Diesel,Chennai
2019,Mahindra,Alturas,2700000,30000,Diesel,Chennai
2017,Mercedes-Benz,E-Class,4500000,17000,Diesel,Chennai
2013,Honda,Amaze,425000,100000,Diesel,Chennai
2013,Hyundai,i20,410000,83000,Diesel,Chennai
2018,Hyundai,Verna,1250000,38000,Diesel,Chennai
2012,Honda,City,525000,40000,Petrol,Chennai
2016,BMW,7,5650000,54000,Diesel,Chennai
2014,BMW,3,2250000,55000,Diesel,Chennai
2021,Ford,Endeavour,3850000,8000,Diesel,Chennai
2014,Fiat,Abarth,2000000,18000,Petrol,Chennai
2019,Honda,Jazz,900000,11505,Petrol,Chennai
2018,Toyota,Innova,2150000,7686,Diesel,Chennai
2019,Honda,Jazz,900000,1664,Petrol,Chennai
2016,Hyundai,Creta,1090000,69138,Diesel,Chennai
2020,Toyota,Innova,2790000,2762,Diesel,Chennai
2017,Honda,WR-V,800000,4593,Petrol,Chennai
2015,Maruti Suzuki,Ertiga,725000,75000,Diesel,Chennai
2013,Toyota,Innova,1100000,107000,Diesel,Chennai
2016,Honda,City,810000,62000,Diesel,Chennai
2008,Hyundai,Santro,170000,63000,Petrol,Chennai
2014,Renault,Duster,565000,25000,Petrol,Chennai
2015,Hyundai,i10,400000,40000,Petrol,Chennai
2018,Hyundai,Verna,1025000,40000,Diesel,Chennai
2010,Tata,Nano,80000,10001,Petrol,Chennai
2019,Hyundai,Verna,1195000,10000,Petrol,Chennai
2016,Mahindra,TUV300,875000,38000,Diesel,Chennai
2019,Maruti Suzuki,Vitara,1150000,14000,Diesel,Chennai
2019,Honda,Jazz,790000,11000,Petrol,Chennai
2018,Mahindra,XUV500,1290000,29000,Diesel,Chennai
2020,Mahindra,XUV300,990000,2000,Petrol,Chennai
2019,Hyundai,Verna,925000,24800,Petrol,Chennai
2020,Mahindra,XUV300,1390000,25000,Diesel,Chennai
2017,Honda,WR-V,875000,46000,Diesel,Chennai
2018,Ford,EcoSport,1090000,20000,Diesel,Chennai
2020,Mahindra,XUV300,1390000,25000,Diesel,Chennai
2018,Ford,EcoSport,1090000,20000,Diesel,Chennai
2021,Ford,Endeavour,3850000,8000,Diesel,Chennai
2017,Honda,WR-V,875000,46000,Diesel,Chennai
2019,Hyundai,Verna,1195000,10000,Petrol,Chennai
2019,Skoda,Rapid,1175000,10000,Petrol,Chennai
2019,Jeep,Compass,2190000,24000,Petrol,Chennai
2018,Mahindra,XUV500,1290000,29000,Diesel,Chennai
2019,Hyundai,Verna,925000,24800,Petrol,Chennai
2020,Mahindra,XUV300,990000,2000,Petrol,Chennai
2014,Honda,City,790000,20000,Petrol,Chennai
2015,Volkswagen,Vento,620000,54000,Diesel,Chennai
2010,Maruti Suzuki,Ritz,285000,72000,Petrol,Chennai
2014,Audi,A4,1850000,72000,Diesel,Chennai
2016,Hyundai,Elite,630000,5700,Petrol,Chennai
2014,Mahindra,Bolero,540000,180000,Diesel,Chennai
2018,Hyundai,Creta,1250000,40000,Diesel,Chennai
2013,Ford,EcoSport,650000,60000,Petrol,Chennai
2012,Honda,City,525000,40000,Petrol,Chennai
2012,Honda,City,750000,65000,Petrol,Chennai
2011,Honda,City,490000,80000,Petrol,Chennai
2019,Hyundai,Elite,625000,33000,Petrol,Chennai
2020,Renault,Kwid,530000,11500,Petrol,Chennai
2019,Volvo,XC60,5600000,40000,Diesel,Chennai
2019,Volvo,XC60,5600000,40000,Diesel,Chennai
2020,Renault,Kwid,530000,11500,Petrol,Chennai
2010,Mercedes-Benz,S-Class,2400000,57000,Diesel,Chennai
2005,Mercedes-Benz,C-Class,550000,74000,Petrol,Chennai
2011,Mercedes-Benz,C-Class,1250000,97000,Diesel,Chennai
2007,Honda,CR-V,475000,120000,Petrol,Chennai
2021,Hyundai,Venue,1050000,2000,Petrol,Chennai
2016,Hyundai,Elite,630000,57000,Petrol,Chennai
2014,Jaguar,XF,2200000,78000,Diesel,Chennai
2019,Volkswagen,Passat,2850000,25000,Diesel,Chennai
2015,Volkswagen,Vento,600000,66000,Petrol,Chennai
2016,BMW,7,5650000,54000,Diesel,Chennai
2012,Maruti Suzuki,Wagon,300000,76000,Petrol,Chennai
2019,Maruti Suzuki,Alto,390000,13000,Petrol,Chennai
2018,Maruti Suzuki,Ciaz,950000,25000,Petrol,Chennai
2012,Hyundai,i20,375000,66000,Petrol,Chennai
2014,Volkswagen,Vento,575000,86000,Diesel,Chennai
2018,Jeep,Compass,1650000,39500,Diesel,Chennai
2004,Toyota,Camry,500000,70500,Petrol,Chennai
2011,Audi,A4,1200000,44000,Diesel,Chennai
2011,Honda,Accord,750000,65000,Petrol,Chennai
2015,Volkswagen,Polo,700000,50000,Petrol,Chennai
2014,BMW,3,2250000,55000,Diesel,Chennai
2019,BMW,5,5190000,53000,Diesel,Chennai
2019,Maruti Suzuki,Alto,390000,13000,Petrol,Chennai
2012,Maruti Suzuki,Wagon,300000,76000,Petrol,Chennai
2017,Land Rover,Evoque,3550000,80400,Diesel,Chennai
2007,BMW,6,1800000,30900,Petrol,Chennai
2015,BMW,7,3800000,40500,Diesel,Chennai
2018,BMW,5,4900000,39000,Diesel,Chennai
2014,BMW,3,2250000,55000,Diesel,Chennai
2014,Mahindra,XUV500,1050000,58200,Diesel,Chennai
2019,Volkswagen,Passat,2850000,25000,Diesel,Chennai
2012,Toyota,Innova,1200000,108000,Diesel,Chennai
2012,Hyundai,i20,375000,66000,Petrol,Chennai
2012,Honda,City,550000,55000,Petrol,Chennai
2011,Volvo,XC60,1150000,80000,Diesel,Chennai
2019,Toyota,Innova,2175000,39900,Diesel,Chennai
2013,Volkswagen,Vento,475000,66000,Petrol,Chennai
2016,Maruti Suzuki,Swift,610000,15000,Petrol,Chennai
2015,Hyundai,Creta,950000,79900,Diesel,Chennai
2011,Hyundai,i10,360000,22000,Petrol,Chennai
2012,Audi,A6,1450000,55000,Diesel,Chennai
2016,Honda,City,790000,45000,Petrol,Chennai
2019,Mahindra,XUV500,1650000,19900,Diesel,Chennai
2019,Hyundai,Verna,1300000,4000,Petrol,Chennai
2012,Mercedes-Benz,GL,2400000,148000,Diesel,Chennai
2018,Hyundai,Elite,650000,18000,Petrol,Chennai
2019,Mahindra,XUV500,1650000,19900,Diesel,Chennai
2012,Mahindra,XUV500,800000,85000,Diesel,Chennai
2013,Audi,Q7,2150000,83000,Diesel,Chennai
2016,Honda,City,790000,45000,Petrol,Chennai
2014,Hyundai,Elite,550000,52000,Diesel,Chennai
2016,Maruti Suzuki,Celerio,425000,35000,Petrol,Chennai
2016,Toyota,Innova,1700000,79900,Diesel,Chennai
2012,Audi,A6,1450000,55000,Diesel,Chennai
2018,Renault,Duster,925000,50000,Diesel,Chennai
2015,Toyota,Innova,1350000,85000,Diesel,Chennai
2015,Mercedes-Benz,C-Class,2350000,43000,Diesel,Chennai
2012,Mercedes-Benz,GL,2400000,148000,Diesel,Chennai
2015,Hyundai,Elite,575000,39000,Petrol,Chennai
2018,Hyundai,Verna,1200000,19900,Petrol,Chennai
2017,Maruti Suzuki,Celerio,470000,51000,Petrol,Chennai
2017,Land Rover,Evoque,3500000,30980,Diesel,Chennai
2016,Audi,Q3,1395000,72000,Diesel,Chennai
2014,BMW,5,2800000,27000,Diesel,Chennai
2018,Hyundai,Elite,650000,18000,Petrol,Chennai
2015,Maruti Suzuki,Ciaz,675000,62000,Petrol,Chennai
2016,Hyundai,Creta,770000,175000,Diesel,Chennai
2011,Nissan,Micra,225000,51000,Petrol,Chennai
2016,Hyundai,Creta,925000,40000,Diesel,Chennai
2019,Hyundai,Venue,1125000,14000,Petrol,Chennai
2016,Ford,EcoSport,680000,69000,Petrol,Chennai
2011,Nissan,Micra,225000,51000,Petrol,Chennai
2016,Hyundai,Creta,925000,40000,Diesel,Chennai
2017,Hyundai,Grand,380000,62000,Diesel,Chennai
2018,Maruti Suzuki,Ciaz,825000,22000,Petrol,Chennai
2020,Toyota,Innova,2550000,9500,Diesel,Chennai
2015,Volkswagen,Vento,700000,60000,Petrol,Chennai
2012,Land Rover,Evoque,2350000,63000,Diesel,Chennai
2012,Hyundai,i20,375000,66000,Petrol,Chennai
2018,Audi,Q3,2650000,81296,Diesel,Chennai
2017,Maruti Suzuki,Baleno,650000,32000,Petrol,Chennai
2012,Mercedes-Benz,C-Class,1400000,87500,Diesel,Chennai
2017,Maruti Suzuki,Ertiga,910000,48000,Diesel,Chennai
2019,Hyundai,Venue,1125000,14000,Petrol,Chennai
2012,Hyundai,Verna,550000,52000,Diesel,Chennai
2018,Hyundai,Verna,1250000,38000,Diesel,Chennai
2017,Hyundai,Elite,750000,40000,Diesel,Chennai
2019,Hyundai,Creta,990000,58000,Diesel,Chennai
2011,Toyota,Innova,870000,120000,Diesel,Chennai
2018,Maruti Suzuki,Ciaz,870000,38000,Petrol,Chennai
2015,Hyundai,i10,325000,54000,Petrol,Chennai
2015,Mahindra,Thar,750000,64000,Diesel,Chennai
2012,BMW,X1,1385000,59000,Diesel,Chennai
2010,Maruti Suzuki,SX4,240000,90000,Petrol,Chennai
2008,Hyundai,i10,250000,73000,Petrol,Chennai
2016,Ford,Figo,475000,40000,Diesel,Chennai
2016,Ford,Endeavour,2225000,65000,Diesel,Chennai
2016,Renault,Duster,690000,70000,Diesel,Chennai
2014,Hyundai,Elite,515000,29000,Petrol,Chennai
2015,Hyundai,i10,325000,54000,Petrol,Chennai
2019,Kia,Seltos,1590000,7000,Petrol,Chennai
2019,Ford,EcoSport,890000,45000,Diesel,Chennai
2016,Ford,Endeavour,2090000,74000,Diesel,Chennai
2012,Mahindra,XUV500,750000,130000,Diesel,Chennai
2016,Ford,EcoSport,575000,68000,Diesel,Chennai
2017,Honda,Jazz,725000,13000,Petrol,Chennai
2016,Mahindra,TUV300,675000,64000,Diesel,Chennai
2011,Ford,Endeavour,950000,60000,Diesel,Chennai
2017,Hyundai,Grand,550000,44000,Petrol,Chennai
2017,Ford,Endeavour,2290000,61000,Diesel,Chennai
2014,Toyota,Innova,1149000,112000,Diesel,Chennai
2012,BMW,X1,1385000,59000,Diesel,Chennai
2017,Ford,Endeavour,2400000,90000,Diesel,Chennai
2012,Mahindra,Scorpio,650000,135000,Diesel,Chennai
2016,BMW,X3,3400000,40000,Diesel,Chennai
2013,Toyota,Innova,1250000,130000,Diesel,Chennai
2019,Maruti Suzuki,Swift,600000,62000,Diesel,Chennai
2017,Hyundai,Grand,380000,65000,Diesel,Chennai
2012,Toyota,Corolla,650000,77000,Diesel,Chennai
2013,Skoda,Laura,625000,106000,Petrol,Chennai
2016,Ford,EcoSport,750000,34000,Diesel,Chennai
2015,Audi,A8,4500000,57700,Diesel,Chennai
2018,Toyota,Innova,2300000,40000,Diesel,Chennai
2017,Hyundai,Grand,380000,65000,Diesel,Chennai
2020,Hyundai,Tucson,2500000,4500,Petrol,Chennai
2015,Hyundai,Eon,320000,36000,Petrol,Chennai
2019,Hyundai,Creta,1380000,32000,Petrol,Chennai
2015,Hyundai,Grand,445000,65000,Diesel,Chennai
2019,Maruti Suzuki,Swift,600000,62000,Diesel,Chennai
2017,Volvo,S60,3950000,49855,Petrol,Chennai
2017,Ford,Mustang,6500000,11100,Petrol,Chennai
2016,BMW,X1,2600000,37000,Diesel,Chennai
2016,Jaguar,XF,2850000,63000,Diesel,Chennai
2013,Mercedes-Benz,M-Class,2400000,120000,Diesel,Chennai
2017,Maruti Suzuki,Ciaz,785000,49000,Petrol,Chennai
2017,Hyundai,Verna,875000,10001,Petrol,Chennai
2015,Audi,Q3,2200000,76000,Diesel,Chennai
2011,Toyota,Innova,1000000,190000,Diesel,Chennai
2017,Volkswagen,Polo,585000,38000,Petrol,Chennai
2020,Kia,Sonet,1450000,3000,Petrol,Chennai
2017,Hyundai,Creta,1025000,37000,Petrol,Chennai
2019,Hyundai,Verna,995000,17000,Petrol,Chennai
2020,BMW,X4,6800000,20000,Petrol,Chennai
2017,Tata,Hexa,1075000,85000,Diesel,Chennai
2012,Renault,Duster,525000,65000,Diesel,Chennai
2015,Skoda,Rapid,790000,57000,Diesel,Chennai
2017,Maruti Suzuki,Ignis,485000,24000,Petrol,Chennai
2018,Maruti Suzuki,Baleno,690000,35000,Petrol,Chennai
2018,Honda,Jazz,750000,29000,Diesel,Chennai
2018,Honda,City,990000,41000,Diesel,Chennai
2019,Renault,Duster,1090000,16000,Diesel,Chennai
2017,Ford,EcoSport,850000,44000,Diesel,Chennai
2018,Toyota,Innova,2050000,41000,Diesel,Chennai
2015,Jaguar,XF,2200000,77000,Diesel,Chennai
2014,BMW,X1,1450000,63000,Diesel,Chennai
2010,Skoda,Superb,600000,104000,Diesel,Chennai
2017,Skoda,Rapid,735000,112000,Diesel,Chennai
2012,Toyota,Innova,1190000,93000,Diesel,Chennai
2017,Skoda,Octavia,2000000,30000,Diesel,Chennai
2019,Skoda,Rapid,1090000,30000,Diesel,Chennai
2020,Volkswagen,Polo,775000,16000,Petrol,Chennai
2018,Toyota,Fortuner,2700000,100000,Diesel,Chennai
2018,Toyota,Innova,2050000,42500,Diesel,Chennai
2017,Toyota,Fortuner,2800000,420000,Diesel,Chennai
2012,Mercedes-Benz,C-Class,1450000,48000,Diesel,Chennai
2011,BMW,3,1275000,64000,Diesel,Chennai
2018,Toyota,Fortuner,2700000,100000,Diesel,Chennai
2018,Toyota,Innova,2050000,42500,Diesel,Chennai
2016,Mercedes-Benz,GLS,5200000,82420,Diesel,Chennai
2011,Mercedes-Benz,C-Class,1150000,73000,Diesel,Chennai
2018,Mercedes-Benz,CLA,3200000,15600,Diesel,Chennai
2015,Audi,A3,1850000,58600,Diesel,Chennai
2019,Mercedes-Benz,GLS,7200000,58548,Diesel,Chennai
2015,BMW,3,2200000,22261,Diesel,Chennai
2018,Land Rover,Discovery,4400000,28800,Diesel,Chennai
2017,Skoda,Octavia,2000000,30000,Diesel,Chennai
2017,Honda,WR-V,875000,43000,Diesel,Chennai
2012,Audi,A6,1700000,76000,Diesel,Chennai
2009,Audi,A4,1025000,65000,Petrol,Chennai
2014,Honda,City,785000,20000,Petrol,Chennai
2016,BMW,X1,2600000,36000,Diesel,Chennai
2014,Ford,EcoSport,525000,73000,Petrol,Chennai
2016,Hyundai,Elite,675000,12000,Petrol,Chennai
2019,Ford,EcoSport,850000,23000,Petrol,Chennai
2020,Audi,A4,4400000,16000,Diesel,Chennai
2013,Audi,A6,2100000,40000,Diesel,Chennai
2012,BMW,5,1800000,82000,Diesel,Chennai
2019,Mahindra,Alturas,2700000,30000,Diesel,Chennai
2017,Mercedes-Benz,E-Class,4500000,17000,Diesel,Chennai
2007,Maruti Suzuki,SX4,175000,71488,Petrol,Pune
2018,Maruti Suzuki,Baleno,630000,32228,Petrol,Pune
2021,Volkswagen,Polo,1015000,11000,Petrol,Pune
2016,Maruti Suzuki,Vitara,700000,83508,Diesel,Pune
2015,Volkswagen,Polo,525000,40119,Petrol,Pune
2015,MINI,Countryman,2300000,40614,Diesel,Pune
2017,Toyota,Innova,1795000,30889,Diesel,Pune
2015,BMW,X3,2400000,85200,Diesel,Pune
2019,Maruti Suzuki,Alto,395000,10300,CNG + 1,Pune
2017,Hyundai,Grand,495000,43712,Petrol,Pune
2010,Hyundai,i10,270000,75000,Petrol,Pune
